COUNTRY_CODE,USER_ID,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON,AVG_WIN_RATE,RETENTION_RATE,INSTALL_DATE,PLAY_DATE
AR,d7a5922adbaf38d3e18015fae667ac4d94139842,718,652,53,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,d8b6337508be7d62129b132b541ca5d7df8d830b,48,41,2,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,e3c2a7bbe817ff1fceb9ae5823ada9d42767a3d1,264,253,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,f09c6d3573809167d5c2bdb108730fffcdac2bc3,3,3,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,f5fcc71a1054209874790aa28320568497b248a1,4,4,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,f709691e1a0c3edfea4c9649e3cd69c95f26a32e,199,195,8,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,f7207aaeb94e083be1c547b21f08f89427452e77,7,6,0,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AR,fee9bfe0838361fef54ea37c262c28df20c0b442,84,76,6,0.05340513856165152,0.017241379310344827,2021-02-26 21:07:00,2021-01-04
AT,0523ce41150b48dcb5f1df8f1a53c0c9851b1f6d,42,42,2,0.08249772105742935,0.0,2021-02-18 17:04:00,2021-01-03
AT,354a22dd4f63b9b468bf5b22fd2183b7e3fc35b7,289,278,43,0.08249772105742935,0.0,2021-02-18 17:04:00,2021-01-03
AT,52e8ca0ff0ac211b44634050f04346c76a74f430,16,16,0,0.08249772105742935,0.0,2021-02-18 17:04:00,2021-01-03
AT,665eba43a1269f384a687bdaa35599df48a9e6b5,18,17,0,0.08249772105742935,0.0,2021-02-18 17:04:00,2021-01-03
AT,9951b96bc322d02dbda5a0f5b53e0f6089e3c89e,122,113,16,0.08249772105742935,0.0,2021-02-18 17:04:00,2021-01-03
