USER_ID,PLAY_DATE,MATCHES_STARTED,MATCHES_COMPLETED,MATCHES_WON,INSTALL_DATE,COUNTRY_CODE
f863516432f44e16b90f66d4f34585c7183934a6,17/02/21 00:00,7,7,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,18/04/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,06/04/21 00:00,10,9,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,21/03/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,04/07/22 00:00,5,5,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,27/02/21 00:00,32,32,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,20/03/21 00:00,2,2,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,10/03/21 00:00,3,3,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,21/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,26/03/21 00:00,30,28,4,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,01/04/21 00:00,16,14,2,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,16/02/21 00:00,31,28,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,14/03/21 00:00,4,4,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,25/03/21 00:00,2,2,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,06/05/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,02/03/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,22/03/21 00:00,17,17,1,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,13/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,16/03/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,14/02/21 00:00,3,3,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,20/02/21 00:00,23,22,1,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,25/02/21 00:00,17,14,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,28/03/21 00:00,12,12,2,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,21/02/21 00:00,22,17,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,16/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,26/06/22 00:00,7,7,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,11/03/21 00:00,7,6,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,01/05/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,19/02/21 00:00,21,20,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,04/03/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,23/03/21 00:00,6,6,1,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,18/03/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,02/12/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,23/02/21 00:00,20,15,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,24/02/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,17/03/21 00:00,1,1,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,18/07/21 00:00,1,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,08/04/21 00:00,9,3,1,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,28/02/21 00:00,7,7,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,01/07/22 00:00,20,20,6,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,22/04/21 00:00,0,0,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,26/02/21 00:00,9,9,0,14/02/21 16:51,HK
f863516432f44e16b90f66d4f34585c7183934a6,31/03/21 00:00,2,1,0,14/02/21 16:51,HK
2b485532a0f4795ee8b4685adba524e00b4f154b,29/07/22 00:00,18,17,6,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,25/07/22 00:00,13,12,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,23/05/22 00:00,7,7,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,18/07/22 00:00,5,5,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,24/08/22 00:00,4,3,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,16/07/22 00:00,17,17,1,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,20/05/22 00:00,0,0,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,10/07/22 00:00,21,21,1,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,09/07/22 00:00,6,6,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,19/08/22 00:00,5,4,2,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,26/05/22 00:00,5,4,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,05/08/22 00:00,11,10,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,17/08/22 00:00,6,5,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,24/05/22 00:00,19,19,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,26/07/22 00:00,5,5,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,25/05/22 00:00,6,6,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,15/08/22 00:00,7,7,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,14/08/22 00:00,10,10,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,31/05/22 00:00,7,7,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,23/07/22 00:00,12,12,4,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,12/08/22 00:00,14,14,2,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,03/08/22 00:00,6,6,0,18/05/22 19:57,FR
2b485532a0f4795ee8b4685adba524e00b4f154b,18/05/22 00:00,19,19,0,18/05/22 19:57,FR
d90f8f1160d5e7bf868003b2509de08e7c48a39a,06/03/22 00:00,2,2,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,05/03/22 00:00,20,20,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,21/06/22 00:00,2,2,0,04/01/22 23:06,US
d90f8f1160d5e7bf868003b2509de08e7c48a39a,07/07/22 00:00,11,10,0,04/01/22 23:06,US
